Country,CPI2016,Rank,Region,WB Code,World Bank CPIA,World Economic Forum EOS,Global Insight Country Risk Ratings,Bertelsmann Foundation Transformation Index,African Development Bank CPIA,IMD World Competitiveness Yearbook,Bertelsmann Foundation Sustainable Governance Index,World Justice Project Rule of Law Index,PRS International Country Risk Guide,Varities of Democracy Project,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,PERC Asia Risk Guide,Number of Sources,Std Error 2016,Lower CI,Upper CI,Min,Max,OECD,G20,BRICS,EU,Arab states
Haiti,20,159,AME,HTI,24.0,20.0,22,16.0,,,,,15.0,,,,,5,1.81,17,23,15,24,,,,,
Burundi,20,159,SSA,BDI,13.0,24.0,22,20.0,20.0,,,,,20.0,,,,6,1.53,18,23,13,24,,,,,
Central African Republic,20,159,SSA,CAF,24.0,,10,28.0,17.0,,,,,,,,,4,4.04,13,27,10,28,,,,,
Chad,20,159,SSA,TCD,24.0,10.0,22,20.0,23.0,,,,,,,,,5,2.67,16,24,10,24,,,,,
Republic of Congo,20,159,SSA,COG,13.0,,22,20.0,,,,,24.0,,19.0,,,5,1.78,17,23,13,24,,,,,
Angola,18,164,SSA,AGO,,,22,16.0,,,,,15.0,,19.0,,,4,1.68,15,21,15,22,,,,,
Eritrea,18,164,SSA,ERI,13.0,,34,12.0,0.0,,,,,29.0,,,,5,6.24,8,28,0,34,,,,,
Venezuela,17,166,AME,VEN,,13.0,22,16.0,,21.0,,14.0,15.0,,19.0,,,7,1.41,15,20,13,22,,,,,
Iraq,17,166,MENA,IRQ,,,10,20.0,,,,,15.0,19.0,19.0,,,5,1.87,14,20,10,20,,,,,y
Guinea-Bissau,16,168,SSA,GNB,13.0,,22,,14.0,,,,15.0,,,,,4,2.09,13,20,13,22,,,,,
Afghanistan,15,169,AP,AFG,13.0,,10,20.0,,,,13.0,,16.0,,,,5,1.74,12,17,10,20,,,,,
Libya,14,170,MENA,LBY,,,10,12.0,,,,,15.0,,19.0,,,4,2.0,11,17,10,19,,,,,y
Yemen,14,170,MENA,YEM,2.0,12.0,10,28.0,,,,,15.0,14.0,19.0,,,7,3.05,9,19,2,28,,,,,y
Sudan,14,170,SSA,SDN,2.0,,22,16.0,11.0,,,,6.0,22.0,19.0,,,7,2.99,9,19,2,22,,,,,y
Syria,13,173,MENA,SYR,,,10,8.0,,,,,15.0,12.0,19.0,,,5,1.97,10,16,8,19,,,,,y
Korea (North),12,174,AP,PRK,,,10,12.0,,,,,15.0,,,,,3,1.39,10,15,10,15,,,,,
South Sudan,11,175,SSA,SSD,2.0,,10,16.0,5.0,,,,,19.0,,,,5,3.21,5,16,2,19,,,,,
Somalia,10,176,SSA,SOM,,,10,8.0,0.0,,,,15.0,17.0,,,,5,2.98,5,15,0,17,,,,,y
