Country Rank,Country/Territory,Country Code,Region,CPI 2015 Score,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
117,Pakistan,PAK,AP,30,7,3.119999885559082,19,42,25,35,23.0,34.0,19.0,,,,26.0,31.0,38.0,42.0,,
117,Tanzania,TZA,SSA,30,8,3.490000009536743,11,42,24,36,35.0,31.0,32.0,42.0,,,21.0,31.0,38.0,11.0,,
119,Azerbaijan,AZE,ECA,29,6,3.25,21,38,24,34,,37.0,23.0,,,,,21.0,38.0,32.0,,21.0
119,Guyana,GUY,AME,29,4,3.009999990463257,21,35,24,34,35.0,29.0,,,,,,21.0,,32.0,,
119,Russia,RUS,ECA,29,8,2.5199999809265137,21,38,25,33,,38.0,28.0,,33.0,,28.0,21.0,38.0,22.0,,21.0
119,Sierra Leone,SLE,SSA,29,8,3.440000057220459,14,40,23,35,35.0,20.0,40.0,40.0,,,14.0,31.0,21.0,32.0,,
123,Gambia,GMB,SSA,28,5,6.670000076293945,12,49,17,39,12.0,49.0,,15.0,,,,31.0,,32.0,,
123,Guatemala,GTM,AME,28,6,3.4600000381469727,15,38,22,34,,38.0,32.0,,,,15.0,31.0,21.0,32.0,,
123,Kazakhstan,KAZ,ECA,28,8,4.900000095367432,11,51,20,36,,51.0,19.0,,46.0,,28.0,21.0,21.0,11.0,,23.0
123,Kyrgyzstan,KGZ,ECA,28,6,2.2899999618530273,20,35,24,32,35.0,25.0,32.0,,,,20.0,,,32.0,,26.0
123,Lebanon,LBN,MENA,28,6,3.2200000286102295,19,38,23,33,,35.0,19.0,,,,24.0,21.0,38.0,32.0,,
123,Madagascar,MDG,SSA,28,7,2.990000009536743,20,42,23,33,23.0,29.0,32.0,20.0,,,20.0,31.0,,42.0,,
123,Timor-Leste,TLS,AP,28,3,5.170000076293945,22,38,20,36,23.0,38.0,,,,,,,,22.0,,
130,Cameroon,CMR,SSA,27,8,3.259999990463257,14,45,22,32,23.0,30.0,28.0,45.0,,,14.0,31.0,21.0,22.0,,
